image_id,image_path,final_label,numeric_label,status,error_message,number_of_components,tissue_area,chromatin_area,warning_empty_mask,warning_too_large_mask,warning_tissue_almost_empty,warning_too_many_components,warning_selected_empty_but_raw_not_empty,warning_central_fallback_used
1.png,data/raw/images/1.png,NMF,0,success,,10,13867,816,False,False,False,False,False,False
2.png,data/raw/images/2.png,NMF,0,success,,6,13295,1010,False,False,False,False,False,False
3.png,data/raw/images/3.png,NMF,0,success,,10,13426,1564,False,False,False,False,False,False
4.png,data/raw/images/4.png,AMF,1,success,,5,14101,1034,False,False,False,False,False,False
5.png,data/raw/images/5.png,AMF,1,success,,14,13732,1127,False,False,False,False,False,False
6.png,data/raw/images/6.png,NMF,0,success,,16,14621,1292,False,False,False,False,False,False
7.png,data/raw/images/7.png,NMF,0,success,,12,14876,2545,False,False,False,False,False,False
8.png,data/raw/images/8.png,AMF,1,success,,18,15179,1859,False,False,False,False,False,False
9.png,data/raw/images/9.png,NMF,0,success,,8,15717,817,False,False,False,False,False,False
10.png,data/raw/images/10.png,NMF,0,success,,19,14660,1611,False,False,False,False,False,False
11.png,data/raw/images/11.png,NMF,0,success,,12,14744,965,False,False,False,False,False,False
12.png,data/raw/images/12.png,NMF,0,success,,5,14629,945,False,False,False,False,False,False
13.png,data/raw/images/13.png,NMF,0,success,,4,14831,524,False,False,False,False,False,False
14.png,data/raw/images/14.png,NMF,0,success,,7,13981,617,False,False,False,False,False,False
15.png,data/raw/images/15.png,NMF,0,success,,17,14611,1980,False,False,False,False,False,False
16.png,data/raw/images/16.png,NMF,0,success,,3,15448,841,False,False,False,False,False,False
19.png,data/raw/images/19.png,NMF,0,success,,9,16087,959,False,False,False,False,False,False
20.png,data/raw/images/20.png,NMF,0,success,,4,15274,473,False,False,False,False,False,False
21.png,data/raw/images/21.png,AMF,1,success,,7,16087,577,False,False,False,False,False,False
22.png,data/raw/images/22.png,NMF,0,success,,6,15512,560,False,False,False,False,False,False
23.png,data/raw/images/23.png,NMF,0,success,,11,14744,516,False,False,False,False,False,False
24.png,data/raw/images/24.png,AMF,1,success,,13,13990,1060,False,False,False,False,False,False
25.png,data/raw/images/25.png,NMF,0,success,,4,14172,625,False,False,False,False,False,False
26.png,data/raw/images/26.png,NMF,0,success,,23,15535,1259,False,False,False,True,False,False
27.png,data/raw/images/27.png,NMF,0,success,,3,14394,580,False,False,False,False,False,False
28.png,data/raw/images/28.png,NMF,0,success,,13,15430,750,False,False,False,False,False,False
29.png,data/raw/images/29.png,NMF,0,success,,17,15292,879,False,False,False,False,False,False
30.png,data/raw/images/30.png,NMF,0,success,,7,15163,487,False,False,False,False,False,False
31.png,data/raw/images/31.png,AMF,1,success,,22,14849,1235,False,False,False,True,False,False
32.png,data/raw/images/32.png,NMF,0,success,,11,15763,1063,False,False,False,False,False,False
33.png,data/raw/images/33.png,NMF,0,success,,15,13362,930,False,False,False,False,False,False
34.png,data/raw/images/34.png,NMF,0,success,,11,14679,647,False,False,False,False,False,False
36.png,data/raw/images/36.png,NMF,0,success,,18,16384,993,False,False,False,False,False,False
37.png,data/raw/images/37.png,NMF,0,success,,16,16226,938,False,False,False,False,False,False
38.png,data/raw/images/38.png,AMF,1,success,,11,15049,1493,False,False,False,False,False,False
39.png,data/raw/images/39.png,NMF,0,success,,13,16384,1027,False,False,False,False,False,False
40.png,data/raw/images/40.png,NMF,0,success,,21,16377,847,False,False,False,True,False,False
41.png,data/raw/images/41.png,NMF,0,success,,18,15481,1938,False,False,False,False,False,False
42.png,data/raw/images/42.png,AMF,1,success,,19,16372,691,False,False,False,False,False,False
43.png,data/raw/images/43.png,NMF,0,success,,14,16324,1459,False,False,False,False,False,False
44.png,data/raw/images/44.png,NMF,0,success,,13,16355,722,False,False,False,False,False,False
45.png,data/raw/images/45.png,NMF,0,success,,17,15642,1154,False,False,False,False,False,False
46.png,data/raw/images/46.png,NMF,0,success,,11,15864,973,False,False,False,False,False,False
47.png,data/raw/images/47.png,NMF,0,success,,8,15753,1204,False,False,False,False,False,False
48.png,data/raw/images/48.png,NMF,0,success,,14,16339,1386,False,False,False,False,False,False
49.png,data/raw/images/49.png,NMF,0,success,,13,15719,1633,False,False,False,False,False,False
50.png,data/raw/images/50.png,NMF,0,success,,8,16320,804,False,False,False,False,False,False
51.png,data/raw/images/51.png,NMF,0,success,,23,15535,1143,False,False,False,True,False,False
52.png,data/raw/images/52.png,NMF,0,success,,16,16320,1347,False,False,False,False,False,False
53.png,data/raw/images/53.png,NMF,0,success,,15,15702,1522,False,False,False,False,False,False
